topo,law,c,lam_f,lam_b,d_lam,dR_jump,area,rho_spearman,n,mean_deg,k2,kappa,k_max,cv_k,clustering,transitivity,C_rand,clustering_ratio,assortativity,path_len,small_world_sigma,lam_max_A,mu2_L,muN_L,eigenratio,g0,lam_c_theory,ratio
rr,lorentz,1.0,4.233333333333333,4.2,0.0333333333333332,0.15608036110749507,0.0519387662640432,0.0,600,6.0,36.0,1.0,6.0,0.0,0.005,0.005,0.010016694490818,0.4991666666666667,,3.856343906510852,0.462127364707989,5.999999999999995,1.5841583160967956,10.435824962420256,6.5876149223097,0.3183098861837907,2.0,2.1166666666666667
rr,uniform,0.0,2.6666666666666665,2.6,0.06666666666666667,0.26067970885034314,0.0484595780440639,0.0,600,6.0,36.0,1.0,6.0,0.0,0.005,0.005,0.010016694490818,0.4991666666666667,,3.856343906510852,0.462127364707989,5.999999999999995,1.5841583160967956,10.435824962420256,6.5876149223097,0.2886751345948129,2.205315581687168,1.2091995761561454
rr,uniform,1.0,2.6666666666666665,2.6333333333333333,0.03333333333333333,0.29709290510394243,0.054644427991083565,0.0,600,6.0,36.0,1.0,6.0,0.0,0.005,0.005,0.010016694490818,0.4991666666666667,,3.856343906510852,0.462127364707989,5.999999999999995,1.5841583160967956,10.435824962420256,6.5876149223097,0.2886751345948129,2.205315581687168,1.2091995761561454
sf,bimodal,0.0,2.9333333333333336,2.966666666666667,-0.03333333333333333,0.08489741427379043,0.06752710838004357,0.03305584949974053,600,5.053333333333334,59.16,2.316713194700677,57.0,1.147481239367632,0.0466798499705426,0.034561360275998,0.0084362826933778,5.533224960228568,-0.0450284236506766,3.605286588759043,6.060133652987508,12.32332108327924,0.3915259757862389,58.464454897474376,149.32458767280912,0.0,,
sf,bimodal,1.0,2.6666666666666665,2.7000000000000006,-0.03333333333333336,0.16378294896026727,0.056077115422190994,0.9748878564671909,600,5.053333333333334,59.16,2.316713194700677,57.0,1.147481239367632,0.0466798499705426,0.034561360275998,0.0084362826933778,5.533224960228568,-0.0450284236506766,3.605286588759043,6.060133652987508,12.32332108327924,0.3915259757862389,58.464454897474376,149.32458767280912,0.0,,
sf,gauss,0.0,2.2,2.1666666666666665,0.03333333333333333,0.0759008989661735,0.026443411963449803,-0.03188418667470907,600,5.053333333333334,59.16,2.316713194700677,57.0,1.147481239367632,0.0466798499705426,0.034561360275998,0.0084362826933778,5.533224960228568,-0.0450284236506766,3.605286588759043,6.060133652987508,12.32332108327924,0.3915259757862389,58.464454897474376,149.32458767280912,0.3989422804014327,0.6888073695336753,3.1939263389260875
sf,gauss,1.0,1.8333333333333333,1.8333333333333333,0.0,0.05438176937602753,0.0193244920874393,0.9748878564671909,600,5.053333333333334,59.16,2.316713194700677,57.0,1.147481239367632,0.0466798499705426,0.034561360275998,0.0084362826933778,5.533224960228568,-0.0450284236506766,3.605286588759043,6.060133652987508,12.32332108327924,0.3915259757862389,58.464454897474376,149.32458767280912,0.3989422804014327,0.6888073695336753,2.6616052824384058
sf,lorentz,0.0,4.1000000000000005,4.133333333333334,-0.0333333333333335,0.05088223929878736,0.029058396446760434,-0.031918920825408766,600,5.053333333333334,59.16,2.316713194700677,57.0,1.147481239367632,0.0466798499705426,0.034561360275998,0.0084362826933778,5.533224960228568,-0.0450284236506766,3.605286588759043,6.060133652987508,12.32332108327924,0.3915259757862389,58.464454897474376,149.32458767280912,0.3183098861837907,0.8632920141236573,4.749262049136388
sf,lorentz,1.0,7.6000000000000005,6.95,0.6500000000000004,0.3205901470368832,0.3331094233040373,0.9748697911646714,600,5.053333333333334,59.16,2.316713194700677,57.0,1.147481239367632,0.0466798499705426,0.034561360275998,0.0084362826933778,5.533224960228568,-0.0450284236506766,3.605286588759043,6.060133652987508,12.32332108327924,0.3915259757862389,58.464454897474376,149.32458767280912,0.3183098861837907,0.8632920141236573,8.803510139862572
sf,uniform,0.0,2.566666666666667,2.6333333333333333,-0.06666666666666667,0.06446012628356064,0.018497369419710235,-0.03188418667470907,600,5.053333333333334,59.16,2.316713194700677,57.0,1.147481239367632,0.0466798499705426,0.034561360275998,0.0084362826933778,5.533224960228568,-0.0450284236506766,3.605286588759043,6.060133652987508,12.32332108327924,0.3915259757862389,58.464454897474376,149.32458767280912,0.2886751345948129,0.9519156651465001,2.6963172901158803
sf,uniform,1.0,2.0,2.0,0.0,0.0485982913970922,0.015379052412986767,0.9748878564671909,600,5.053333333333334,59.16,2.316713194700677,57.0,1.147481239367632,0.0466798499705426,0.034561360275998,0.0084362826933778,5.533224960228568,-0.0450284236506766,3.605286588759043,6.060133652987508,12.32332108327924,0.3915259757862389,58.464454897474376,149.32458767280912,0.2886751345948129,0.9519156651465001,2.101026459830556
ws,bimodal,0.0,4.866666666666667,5.433333333333334,-0.566666666666667,0.3645557800229759,0.26677078385782177,0.023386519980205498,600,6.0,36.54333333333334,1.0150925925925929,9.0,0.1228519132638665,0.4362063492063491,0.4210411437302193,0.010016694490818,43.54793386243386,0.0146913588030897,5.560907067334447,27.95849463103153,6.138429749866063,0.1936893071262832,10.832930920524236,55.92942161469598,0.0,,
ws,bimodal,1.0,4.066666666666666,4.366666666666667,-0.3,0.36157163687125277,0.23317441758149016,0.8786639678746626,600,6.0,36.54333333333334,1.0150925925925929,9.0,0.1228519132638665,0.4362063492063491,0.4210411437302193,0.010016694490818,43.54793386243386,0.0146913588030897,5.560907067334447,27.95849463103153,6.138429749866063,0.1936893071262832,10.832930920524236,55.92942161469598,0.0,,
ws,gauss,0.0,4.366666666666667,4.366666666666667,1.3415194880887307e-16,0.26044132885420107,0.21007046896651557,-0.0112654781463136,600,6.0,36.54333333333334,1.0150925925925929,9.0,0.1228519132638665,0.4362063492063491,0.4210411437302193,0.010016694490818,43.54793386243386,0.0146913588030897,5.560907067334447,27.95849463103153,6.138429749866063,0.1936893071262832,10.832930920524236,55.92942161469598,0.3989422804014327,1.572042918301732,2.777701941740846
ws,gauss,1.0,4.533333333333334,5.1000000000000005,-0.5666666666666664,0.3025851849611756,0.18515748075995397,0.8786639678746626,600,6.0,36.54333333333334,1.0150925925925929,9.0,0.1228519132638665,0.4362063492063491,0.4210411437302193,0.010016694490818,43.54793386243386,0.0146913588030897,5.560907067334447,27.95849463103153,6.138429749866063,0.1936893071262832,10.832930920524236,55.92942161469598,0.3989422804014327,1.572042918301732,2.883721099822558
ws,lorentz,0.0,,,,0.15540582943224282,0.12015050895198463,-0.011268992553014168,600,6.0,36.54333333333334,1.0150925925925929,9.0,0.1228519132638665,0.4362063492063491,0.4210411437302193,0.010016694490818,43.54793386243386,0.0146913588030897,5.560907067334447,27.95849463103153,6.138429749866063,0.1936893071262832,10.832930920524236,55.92942161469598,0.3183098861837907,1.9702636139742766,
ws,lorentz,1.0,,,,0.13266089486574148,0.1372085957826641,0.8786620857719513,600,6.0,36.54333333333334,1.0150925925925929,9.0,0.1228519132638665,0.4362063492063491,0.4210411437302193,0.010016694490818,43.54793386243386,0.0146913588030897,5.560907067334447,27.95849463103153,6.138429749866063,0.1936893071262832,10.832930920524236,55.92942161469598,0.3183098861837907,1.9702636139742766,
ws,uniform,0.0,4.033333333333334,4.566666666666667,-0.5333333333333338,0.3104542184101204,0.23280971576699347,-0.0112654781463136,600,6.0,36.54333333333334,1.0150925925925929,9.0,0.1228519132638665,0.4362063492063491,0.4210411437302193,0.010016694490818,43.54793386243386,0.0146913588030897,5.560907067334447,27.95849463103153,6.138429749866063,0.1936893071262832,10.832930920524236,55.92942161469598,0.2886751345948129,2.172526523964372,1.856517418242337
ws,uniform,1.0,4.433333333333334,5.066666666666667,-0.6333333333333336,0.29194007045055786,0.24029558113660873,0.8786639678746626,600,6.0,36.54333333333334,1.0150925925925929,9.0,0.1228519132638665,0.4362063492063491,0.4210411437302193,0.010016694490818,43.54793386243386,0.0146913588030897,5.560907067334447,27.95849463103153,6.138429749866063,0.1936893071262832,10.832930920524236,55.92942161469598,0.2886751345948129,2.172526523964372,2.0406348481506678
