lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,rho_spearman,rho_pearson,tag,topo,law,c,sigma,seed,n_nodes,mean_deg
0.7000000000000001,2.4000000000000004,-1.7000000000000002,0.19600082623975212,0.3371700087868028,0.09272571598224284,0.9813670516289339,0.9638932615674074,0.4236699981714998,A,ba,bimodal,1.0,0.0,32,600,5.97
0.8,1.8,-1.0,0.2577545102708192,0.33952590457670656,0.10527554531765301,0.9827400869168422,0.9610510935937745,0.45523083627195843,A,ba,bimodal,1.0,0.0,33,600,5.97
2.2,2.1,0.10000000000000009,0.0651478622028937,0.04069019218367445,0.029327192243083944,0.934748493178457,-0.0013160129634267833,-0.026265198252506308,A,sf,gauss,0.0,0.0,31,600,5.053333333333334
2.2,2.2,0.0,0.09697456208438236,0.05039026905477581,0.029223226660023454,0.9272060305642299,-0.05488859988372898,0.012238885494716415,A,sf,gauss,0.0,0.0,32,600,5.256666666666667
2.2,2.2,0.0,0.0655802726112445,0.03505666745202325,0.02077981698724219,0.9272918359701491,-0.039447947176971636,-0.02856925897083508,A,sf,gauss,0.0,0.0,33,600,4.676666666666667
1.8,1.8,0.0,0.05383188206692063,0.02801573661683774,0.021886980193497677,0.9368171977915516,0.9771123055384189,0.70527936623344,A,sf,gauss,1.0,0.0,31,600,5.053333333333334
1.8,1.8,0.0,0.05173367598108386,0.016496434298748558,0.016036417103488895,0.9188852828532768,0.9742892127646898,0.662384028337975,A,sf,gauss,1.0,0.0,32,600,5.256666666666667
1.9000000000000001,1.9000000000000001,0.0,0.05757975008007829,0.027811548636428013,0.02005007896533155,0.9181559540315237,0.973262051098464,0.6563359704492763,A,sf,gauss,1.0,0.0,33,600,4.676666666666667
2.5,2.6,-0.10000000000000009,0.08849846709184042,0.029154250447497615,0.01816086833392474,0.9302534843344005,-0.0013160129634267833,-0.01794865309066864,A,sf,uniform,0.0,0.0,31,600,5.053333333333334
2.6,2.7,-0.10000000000000009,0.044001507139060286,0.021125874637704045,0.014148949989303234,0.9270327859761043,-0.05488859988372898,0.0030226502385176843,A,sf,uniform,0.0,0.0,32,600,5.256666666666667
2.6,2.6,0.0,0.060880404619781336,0.026533699213249134,0.023182289935902836,0.9296647002797725,-0.039447947176971636,-0.036107006089788785,A,sf,uniform,0.0,0.0,33,600,4.676666666666667
1.9000000000000001,1.9000000000000001,0.0,0.04376895116642687,0.02746895784156212,0.012877995700334889,0.9349466767856196,0.9771123055384189,0.6190576078791454,A,sf,uniform,1.0,0.0,31,600,5.053333333333334
2.0,2.0,0.0,0.051481546155384916,0.025361731624191808,0.015869560270679494,0.9158743206973073,0.9742892127646898,0.5701217626892687,A,sf,uniform,1.0,0.0,32,600,5.256666666666667
2.1,2.1,0.0,0.050544376869464946,0.015690486243544806,0.017389601267946152,0.914978717451595,0.973262051098464,0.5642201677489321,A,sf,uniform,1.0,0.0,33,600,4.676666666666667
