lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,topo,law,c,sigma,seed,rho_spearman,rho_pearson,mean_deg,std_deg
2.25,2.25,0.0,0.12721574964885204,0.06069739602598845,0.021978470344412606,0.9613975391597168,er,gauss,-0.5,0.0,32,-0.4466245601092521,-0.46334106370816613,6.016666666666667,2.4013306496375897
2.125,2.125,0.0,0.1254449677009174,0.050703647699982965,0.018070720686973626,0.967892383186183,er,gauss,0.0,0.0,31,0.03677030050530121,0.044502253284605824,5.812709030100335,2.4416342090879812
2.375,2.375,0.0,0.11204610730262293,0.13764973792549312,0.03498857516289049,0.9638216609114538,er,gauss,0.0,0.0,32,0.03525716591568054,0.037757581744502916,6.016666666666667,2.4013306496375897
2.125,2.125,0.0,0.1632313867816528,0.06497367676281507,0.018200062940176554,0.9634757642375072,er,gauss,0.25,0.0,31,0.2718792031842712,0.2856593121689686,5.812709030100335,2.4416342090879812
2.25,2.25,0.0,0.11658467630603514,0.10815200701629528,0.05059053389317826,0.9598775779008942,er,gauss,0.25,0.0,32,0.26090943309571296,0.27686673053004096,6.016666666666667,2.4013306496375897
2.125,2.125,0.0,0.16649409833204667,0.08541088681397058,0.027226501849409813,0.952343211049157,er,gauss,0.5,0.0,31,0.5043916323859522,0.5200026068706213,5.812709030100335,2.4416342090879812
2.25,2.25,0.0,0.0996233457756101,0.026488460538468928,0.01759104724273643,0.9558111479377616,er,gauss,0.5,0.0,32,0.48709144206845695,0.5087753729416221,6.016666666666667,2.4013306496375897
2.0,2.0,0.0,0.2930410852948291,0.20616104415668374,0.055664063894817775,0.9427329093905028,er,gauss,0.75,0.0,31,0.7400896042703267,0.7522945092639508,5.812709030100335,2.4416342090879812
2.125,2.125,0.0,0.18170243899574412,0.046250806815836785,0.018713540760910193,0.9491397000196156,er,gauss,0.75,0.0,32,0.7260604417084338,0.741873644031048,6.016666666666667,2.4013306496375897
1.875,1.875,0.0,0.2801354954382779,0.08194904959605831,0.01933762799720516,0.9367557660669784,er,gauss,1.0,0.0,31,0.9911372606333253,0.9814147482600882,5.812709030100335,2.4416342090879812
1.875,1.875,0.0,0.23997809281033045,0.0834562494735206,0.023966086262966375,0.9414636683415901,er,gauss,1.0,0.0,32,0.9913662329317273,0.9824175894997651,6.016666666666667,2.4013306496375897
