t,order,variance,autocorr
4.165000000000000568e+01,2.430118628629228117e-01,1.359125160924644577e-03,9.992087530732741696e-01
4.170000000000000284e+01,2.462451238028056655e-01,1.488161784241793031e-03,9.992706157939094114e-01
4.175000000000000000e+01,2.490827507823900333e-01,1.616186071922325876e-03,9.993192998673883221e-01
4.180000000000000426e+01,2.514932564395242487e-01,1.740810184009932478e-03,9.993563834909797716e-01
4.185000000000000142e+01,2.534529349772789431e-01,1.859559257109827564e-03,9.993831615245989397e-01
4.190000000000000568e+01,2.549459275610740372e-01,1.969960921853002988e-03,9.994006510275181832e-01
4.195000000000000284e+01,2.559647668814971633e-01,2.069640295037547539e-03,9.994096212577602278e-01
4.200000000000000000e+01,2.565098753505379858e-01,2.156412771488500600e-03,9.994105877956216410e-01
4.205000000000000426e+01,2.565887246285101231e-01,2.228369675755969420e-03,9.994038294431721869e-01
4.210000000000000142e+01,2.562151999078731146e-01,2.283951769994778652e-03,9.993894050815196328e-01
4.215000000000000568e+01,2.554089969091252188e-01,2.322007182413160162e-03,9.993671664176524416e-01
4.220000000000000284e+01,2.541944973070991987e-01,2.341829568412589699e-03,9.993367470469882718e-01
4.225000000000000000e+01,2.526010559019020718e-01,2.343178756192140170e-03,9.992975955580185587e-01
4.230000000000000426e+01,2.506624442798647823e-01,2.326280447228041073e-03,9.992489850164019138e-01
4.235000000000000142e+01,2.484162673506772334e-01,2.291804087091655218e-03,9.991899941151961562e-01
4.240000000000000568e+01,2.459033692886063438e-01,2.240822930271239768e-03,9.991194682803885563e-01
4.245000000000000284e+01,2.431677551607522580e-01,2.174762057433696910e-03,9.990360023027883285e-01
4.250000000000000000e+01,2.402568012856106106e-01,2.095337378781563474e-03,9.989379341294986059e-01
4.255000000000000426e+01,2.372196281888171721e-01,2.004486092046801806e-03,9.988232588257188738e-01
4.260000000000000142e+01,2.341062113732760297e-01,1.904294573185358937e-03,9.986895522183422136e-01
4.265000000000000568e+01,2.309656487655930013e-01,1.796927824411226815e-03,9.985338590852192997e-01
4.270000000000000284e+01,2.278443056028631453e-01,1.684562575776860560e-03,9.983525518161672219e-01
4.275000000000000000e+01,2.247841026345645810e-01,1.569327545033297926e-03,9.981411794528818326e-01
4.280000000000000426e+01,2.218213410534200514e-01,1.453252558213399478e-03,9.978943341697158464e-01
4.285000000000000142e+01,2.189856825861261069e-01,1.338227342004064601e-03,9.976055358435239606e-01
4.290000000000000568e+01,2.163006181957489726e-01,1.225970564476108922e-03,9.972672781816158682e-01
4.295000000000000284e+01,2.137843989729168725e-01,1.118007590675264631e-03,9.968712896503918452e-01
4.300000000000000000e+01,2.114511261802803355e-01,1.015655403181852994e-03,9.964091430681337735e-01
4.305000000000000426e+01,2.093118171747809786e-01,9.200137406058729768e-04,9.958734195361526043e-01
4.310000000000000142e+01,2.073749305499891782e-01,8.319617103657860361e-04,9.952596313729437094e-01
4.315000000000000568e+01,2.056476846525023272e-01,7.521588761547453846e-04,9.945692375648481631e-01
4.320000000000000284e+01,2.041335152804607811e-01,6.810529240076467882e-04,9.938133050905398891e-01
4.325000000000000000e+01,2.028296666017282424e-01,6.188945548241826236e-04,9.930166441501298014e-01
4.330000000000000426e+01,2.017256094394155042e-01,5.657587196028142666e-04,9.922212912537914375e-01
4.335000000000000142e+01,2.008018519293333082e-01,5.215699063532237487e-04,9.914871616317967318e-01
4.340000000000000568e+01,2.000295000444022586e-01,4.861284601121359508e-04,9.908873160036191230e-01
4.345000000000000284e+01,1.993703052075523896e-01,4.591354326694276847e-04,9.904962667106586016e-01
4.350000000000000000e+01,1.987766324321421085e-01,4.402143293541892362e-04,9.903729213127882014e-01
4.355000000000000426e+01,1.981968313361296141e-01,4.289229565613132699e-04,9.905441493233728689e-01
4.360000000000000142e+01,1.975794842795575434e-01,4.247568216212700806e-04,9.909957493853480681e-01
4.365000000000000568e+01,1.968764894989102066e-01,4.271469354799319550e-04,9.916757359273391526e-01
4.370000000000000284e+01,1.960456353606345181e-01,4.354549794739937148e-04,9.925086703595648041e-01
4.375000000000000000e+01,1.950534611814955244e-01,4.489683007094114205e-04,9.934141839448893396e-01
4.380000000000000426e+01,1.938755187270838343e-01,4.669000607285095339e-04,9.943222791854876563e-01
4.385000000000000142e+01,1.924962357087353360e-01,4.883966627725659865e-04,9.951815265132197830e-01
4.390000000000000568e+01,1.909081541344035404e-01,5.125538316263735699e-04,9.959603648484131044e-01
4.395000000000000284e+01,1.891101940397299230e-01,5.384422185344015996e-04,9.966440627720386525e-01
4.400000000000000000e+01,1.871059034849626157e-01,5.651409217965765695e-04,9.972298973278170831e-01
4.405000000000000426e+01,1.849031824089841514e-01,5.917740901946038365e-04,9.977225545728946043e-01
4.410000000000000142e+01,1.825131660101006470e-01,6.175486230585670779e-04,9.981305325710257970e-01
4.415000000000000568e+01,1.799496360735453604e-01,6.417888277213930695e-04,9.984637410362450227e-01
4.420000000000000284e+01,1.772283569809151582e-01,6.639648984686711674e-04,9.987320459744460921e-01
4.425000000000000000e+01,1.743662618097421846e-01,6.837132370292195666e-04,9.989444954773554208e-01
4.430000000000000426e+01,1.713812999310267426e-01,7.008466256615880543e-04,9.991090971993115133e-01
4.435000000000000142e+01,1.682921498343518674e-01,7.153536285920528192e-04,9.992328212905740026e-01
4.440000000000000568e+01,1.651177465916124631e-01,7.273888999158383906e-04,9.993218366326714897e-01
4.445000000000000284e+01,1.618769848722051152e-01,7.372542939255725871e-04,9.993817462771520388e-01
4.450000000000000000e+01,1.585882949092917715e-01,7.453740461469479531e-04,9.994178327557768915e-01
4.455000000000000426e+01,1.552691770822891282e-01,7.522668035795181639e-04,9.994352905397342335e-01
4.460000000000000142e+01,1.519359801360751216e-01,7.585157164307881460e-04,9.994393789819520091e-01
4.465000000000000568e+01,1.486029486884059836e-01,7.647398811597879960e-04,9.994354066771196088e-01
4.470000000000000284e+01,1.452815966766075328e-01,7.715692480924465956e-04,9.994286185404929190e-01
4.475000000000000000e+01,1.419801815350318908e-01,7.796211722242512264e-04,9.994238943594427882e-01
4.480000000000000426e+01,1.387032313426996288e-01,7.894811593313829116e-04,9.994253539722903756e-01
4.485000000000000142e+01,1.354512149608499694e-01,8.016883697183534250e-04,9.994359609098057984e-01
4.490000000000000568e+01,1.322202826307399548e-01,8.167262755545309479e-04,9.994572133198823538e-01
4.495000000000000284e+01,1.290022611260481511e-01,8.350170105983364087e-04,9.994889991161841625e-01
4.500000000000000000e+01,1.257859032987995174e-01,8.569157673751526564e-04,9.995297427716142158e-01
