t,order
1.245000000000000107e+01,2.362344526396271960e-01
1.250000000000000000e+01,2.354105166081217615e-01
1.255000000000000071e+01,2.343025798161773310e-01
1.260000000000000142e+01,2.324763635479247526e-01
1.265000000000000036e+01,2.302494413372158932e-01
1.270000000000000107e+01,2.279657032786033544e-01
1.275000000000000000e+01,2.258254751736447352e-01
1.280000000000000071e+01,2.239359431623852426e-01
1.285000000000000142e+01,2.223426442905894751e-01
1.290000000000000036e+01,2.210444822336836979e-01
1.295000000000000107e+01,2.200388682903707538e-01
1.300000000000000000e+01,2.195682478900611578e-01
1.305000000000000071e+01,2.208696227162794401e-01
1.310000000000000142e+01,2.231299773214319437e-01
1.315000000000000036e+01,2.234995904142183243e-01
1.320000000000000107e+01,2.225066562842900608e-01
1.325000000000000000e+01,2.207567510204291039e-01
1.330000000000000071e+01,2.185616591837328260e-01
1.335000000000000142e+01,2.161149616200794266e-01
1.340000000000000036e+01,2.135315027013860167e-01
1.345000000000000107e+01,2.108561002838729714e-01
1.350000000000000000e+01,2.080813906932697521e-01
1.355000000000000071e+01,2.051764319351185584e-01
1.360000000000000142e+01,2.021105920019864999e-01
1.365000000000000036e+01,1.988588423163134833e-01
1.370000000000000107e+01,1.953890306527018839e-01
1.375000000000000000e+01,1.920306401530481322e-01
1.380000000000000071e+01,1.929609934743315436e-01
1.385000000000000142e+01,1.925691476844124672e-01
1.390000000000000036e+01,1.907377966248219314e-01
1.395000000000000107e+01,1.889798178550236574e-01
1.400000000000000000e+01,1.878336879121879355e-01
1.405000000000000071e+01,1.881576648275283814e-01
1.410000000000000142e+01,1.910190099831244603e-01
1.415000000000000036e+01,1.930393176311464842e-01
1.420000000000000107e+01,1.933296187305243441e-01
1.425000000000000000e+01,1.926445130853860488e-01
1.430000000000000071e+01,1.912516259753755665e-01
1.435000000000000142e+01,1.893219689241939785e-01
1.440000000000000036e+01,1.870201259316060516e-01
1.445000000000000107e+01,1.844984317976963717e-01
1.450000000000000000e+01,1.818933920003993343e-01
