t,order
9.200000000000001066e+00,1.880645650480915476e-01
9.250000000000000000e+00,1.883987440095186150e-01
9.300000000000000711e+00,1.888916530418891793e-01
9.349999999999999645e+00,1.895184321760424173e-01
9.400000000000000355e+00,1.902494721802256428e-01
9.450000000000001066e+00,1.910519206601848929e-01
9.500000000000000000e+00,1.918937695034254043e-01
9.550000000000000711e+00,1.927451591282228760e-01
9.600000000000001421e+00,1.935789710528255103e-01
9.650000000000000355e+00,1.943709519860334356e-01
9.700000000000001066e+00,1.950994155979500766e-01
9.750000000000000000e+00,1.957446200509952716e-01
9.800000000000000711e+00,1.962873542973173624e-01
9.850000000000001421e+00,1.967070947294075611e-01
9.900000000000000355e+00,1.969816548736746387e-01
9.950000000000001066e+00,1.970871871243449203e-01
1.000000000000000000e+01,1.969987376545859481e-01
1.005000000000000071e+01,1.966913229205391189e-01
1.010000000000000142e+01,1.961415108679771535e-01
1.015000000000000036e+01,1.953300506467886832e-01
1.020000000000000107e+01,1.942416199000676358e-01
1.025000000000000000e+01,1.928660481032772600e-01
1.030000000000000071e+01,1.911978152773991801e-01
1.035000000000000142e+01,1.892347466166040271e-01
1.040000000000000036e+01,1.869765186132179013e-01
1.045000000000000107e+01,1.844232527911921216e-01
1.050000000000000000e+01,1.815750330558008330e-01
1.055000000000000071e+01,1.784328261748893418e-01
1.060000000000000142e+01,1.749977555129057227e-01
1.065000000000000036e+01,1.712727311748981074e-01
1.070000000000000107e+01,1.672634423794362724e-01
1.075000000000000000e+01,1.629792263775859951e-01
1.080000000000000071e+01,1.584337569080921659e-01
1.085000000000000142e+01,1.536454959108509155e-01
1.090000000000000036e+01,1.486384611536526457e-01
1.095000000000000107e+01,1.434419336836268433e-01
1.100000000000000000e+01,1.380890441289382709e-01
1.105000000000000071e+01,1.326158816350761493e-01
1.110000000000000142e+01,1.270604931412683547e-01
1.115000000000000036e+01,1.214618039080664208e-01
1.120000000000000107e+01,1.158585232187616942e-01
1.125000000000000000e+01,1.102880904474125290e-01
1.130000000000000071e+01,1.047856009114336157e-01
1.135000000000000142e+01,9.938350216206018328e-02
1.140000000000000036e+01,9.411101658523468583e-02
1.145000000000000107e+01,8.899376169454584207e-02
1.150000000000000000e+01,8.405386182585961041e-02
1.155000000000000071e+01,7.931024428093089162e-02
1.160000000000000142e+01,7.477906157073949123e-02
1.165000000000000036e+01,7.047403248859102076e-02
1.170000000000000107e+01,6.640747735254823314e-02
1.175000000000000000e+01,6.259119102742266572e-02
1.180000000000000071e+01,5.903763600945031997e-02
1.185000000000000142e+01,5.576112896304422778e-02
1.190000000000000036e+01,5.277879805118058931e-02
1.195000000000000107e+01,5.011097869869028665e-02
1.200000000000000000e+01,4.778079025067993174e-02
1.205000000000000071e+01,4.581259307465579411e-02
1.210000000000000142e+01,4.422890641062395684e-02
1.215000000000000036e+01,4.304632223916995265e-02
1.220000000000000107e+01,4.227121761428936919e-02
1.225000000000000000e+01,4.189614115937519839e-02
1.230000000000000071e+01,4.189858162309338663e-02
1.235000000000000142e+01,4.224248079261225253e-02
1.240000000000000036e+01,4.288191488233567689e-02
1.245000000000000107e+01,4.376659931364837441e-02
1.250000000000000000e+01,4.484725266492291251e-02
1.255000000000000071e+01,4.607972728697776188e-02
1.260000000000000142e+01,4.742739599031313424e-02
1.265000000000000036e+01,4.886116751815068604e-02
1.270000000000000107e+01,5.035793288752724028e-02
1.275000000000000000e+01,5.189884922036416132e-02
1.280000000000000071e+01,5.346661664405334691e-02
1.285000000000000142e+01,5.504304108410543878e-02
1.290000000000000036e+01,5.660709109571492731e-02
1.295000000000000107e+01,5.813384451927218477e-02
1.300000000000000000e+01,5.959402502749253094e-02
1.305000000000000071e+01,6.095441221659142483e-02
1.310000000000000142e+01,6.217977382814636467e-02
1.315000000000000036e+01,6.323401853216105428e-02
1.320000000000000107e+01,6.408150286323803513e-02
1.325000000000000000e+01,6.468864951507077854e-02
1.330000000000000071e+01,6.502565765315510005e-02
1.335000000000000142e+01,6.506650717695271202e-02
1.340000000000000036e+01,6.479100457894042264e-02
1.345000000000000107e+01,6.418476718017490645e-02
1.350000000000000000e+01,6.323875436496263769e-02
1.355000000000000071e+01,6.194860887142882022e-02
1.360000000000000142e+01,6.031402969650424828e-02
1.365000000000000036e+01,5.833928479861755223e-02
1.370000000000000107e+01,5.603122309588712269e-02
1.375000000000000000e+01,5.339976474755829539e-02
1.380000000000000071e+01,5.045809708611848771e-02
