kind,lag,mean_corr,vol
ordinary peak,15,0.3835588247156005,0.003223086869400943
ordinary peak,20,0.3972808924410882,0.00331989255758008
ordinary peak,25,0.3813843596693909,0.0033499774610836765
ordinary peak,30,0.36029984444865176,0.00334506169752567
ordinary peak,35,0.3547966107254492,0.003168222870293286
ordinary peak,40,0.30832158249854474,0.0027550588726413033
ordinary peak,45,0.29222433547842186,0.002790868773872189
ordinary peak,50,0.28899697418006504,0.002829247905132014
ordinary peak,55,0.2500246171938792,0.002388580730020782
ordinary peak,60,0.22195454475236248,0.0024348090323986103
ordinary peak,-60,0.21314793045213967,0.0034034363990049746
ordinary peak,-55,0.201006788028094,0.003218923996319754
ordinary peak,-50,0.1813324044652018,0.0031407705782750196
ordinary peak,-45,0.14095651993709943,0.0023694970924044824
ordinary peak,-40,0.13785844072621228,0.0025358497004816407
ordinary peak,-35,0.11821895142916826,0.002358585522423567
ordinary peak,-30,0.1260006938418719,0.0023450882623330354
ordinary peak,-25,0.11493413223103276,0.0022787676702877018
ordinary peak,-20,0.133648722419998,0.0023321512584080486
ordinary peak,-15,0.14233741227301278,0.002255114250403665
ordinary peak,-10,0.1265863498975019,0.002237496949920311
ordinary peak,-5,0.12493087842355821,0.0022380130840670013
ordinary peak,0,0.19945424779864038,0.003125261118131226
ordinary peak,5,0.21223961811752162,0.003064727327864769
ordinary peak,10,0.2229712962580138,0.0030509928139938036
ordinary peak,15,0.22329096496975537,0.00304503680262705
ordinary peak,20,0.21653481835455254,0.002750532281888044
ordinary peak,25,0.2270078725438793,0.002724740422387606
ordinary peak,30,0.22256848166387094,0.0027442610909704872
ordinary peak,35,0.21971970280727152,0.0027530460017945305
ordinary peak,40,0.2154346899682898,0.002638353680698168
ordinary peak,45,0.22889237447470137,0.002872280919941565
ordinary peak,50,0.24172755610147162,0.0028530433001882453
ordinary peak,55,0.2523918911667055,0.002890295950333968
ordinary peak,60,0.1408491359207768,0.0017921361586081934
ordinary peak,-60,0.08022934731451682,0.0018022288920776853
ordinary peak,-55,0.09878040355647139,0.001982485426616742
ordinary peak,-50,0.1066249375617585,0.001920141689280213
ordinary peak,-45,0.09710792478339642,0.0018811035783389508
ordinary peak,-40,0.09612196792725405,0.0018963262748170342
ordinary peak,-35,0.09197796038871957,0.0017327192095742123
ordinary peak,-30,0.07307739050459394,0.0015900067530872863
ordinary peak,-25,0.08112825488784745,0.0017371068380312078
ordinary peak,-20,0.10517553432627232,0.0022151477938382367
ordinary peak,-15,0.12221354098352463,0.002273291138430073
ordinary peak,-10,0.13688862846215363,0.0025466818704096036
ordinary peak,-5,0.13327374192248193,0.002652997026094163
ordinary peak,0,0.16108552039081664,0.002984345413570043
ordinary peak,5,0.17348552197329142,0.0030711970534716623
ordinary peak,10,0.1558808061339612,0.003100210547601635
ordinary peak,15,0.1760701057618613,0.003234935063313871
ordinary peak,20,0.198337379315404,0.003345863905718143
ordinary peak,25,0.19916313685432746,0.003471002592913273
ordinary peak,30,0.19775533019595765,0.0034828682193889667
ordinary peak,35,0.19932813396295965,0.003424722936594975
ordinary peak,40,0.1792301202294487,0.0031434011300214373
ordinary peak,45,0.16050605307206497,0.0030435377560729497
ordinary peak,50,0.16186319347901018,0.0030167825262540308
ordinary peak,55,0.16755758625246175,0.0029307177056569008
ordinary peak,60,0.14877143858420633,0.002647302675005755
ordinary peak,-60,0.12994459101851852,0.002072134017888383
ordinary peak,-55,0.12170969194498757,0.002129266278882127
ordinary peak,-50,0.11514931231769131,0.0021475527236498528
ordinary peak,-45,0.11425263192025421,0.002093017872038056
ordinary peak,-40,0.13056559957395356,0.0022628693877777767
ordinary peak,-35,0.13749671669062608,0.002412813409513978
ordinary peak,-30,0.14385890629276168,0.002533550980987925
