kind,event,lag,mean_corr
crash onset,1682419,80,0.6734938621520996
crash onset,1682810,-90,0.460283488035202
crash onset,1682810,-80,0.5263062119483948
crash onset,1682810,-70,0.5533679127693176
crash onset,1682810,-60,0.5614637732505798
crash onset,1682810,-50,0.5337771773338318
crash onset,1682810,-40,0.47607338428497314
crash onset,1682810,-30,0.5384044647216797
crash onset,1682810,-20,0.5514741539955139
crash onset,1682810,-10,0.6072311401367188
crash onset,1682810,0,0.573020339012146
crash onset,1682810,10,0.584599494934082
crash onset,1682810,20,0.6355540752410889
crash onset,1682810,30,0.6379529237747192
crash onset,1682810,40,0.6291927695274353
crash onset,1682810,50,0.604550838470459
crash onset,1682810,60,0.5393592715263367
crash onset,1682810,70,0.5443524718284607
crash onset,1682810,80,0.5198181867599487
crash onset,1683398,-90,0.3453170359134674
crash onset,1683398,-80,0.3809348940849304
crash onset,1683398,-70,0.42954757809638977
crash onset,1683398,-60,0.35662785172462463
crash onset,1683398,-50,0.34067976474761963
crash onset,1683398,-40,0.3273567259311676
crash onset,1683398,-30,0.41043105721473694
crash onset,1683398,-20,0.5021194219589233
crash onset,1683398,-10,0.48787352442741394
crash onset,1683398,0,0.48929741978645325
crash onset,1683398,10,0.4598613679409027
crash onset,1683398,20,0.5294303894042969
crash onset,1683398,30,0.5511932969093323
crash onset,1683398,40,0.5840449333190918
crash onset,1683398,50,0.5507593750953674
crash onset,1683398,60,0.5185502171516418
crash onset,1683398,70,0.42433175444602966
crash onset,1683398,80,0.37807053327560425
crash onset,1683398,90,0.370953768491745
crash onset,1683937,-90,0.4750288128852844
crash onset,1683937,-80,0.4283870458602905
crash onset,1683937,-70,0.4789659082889557
crash onset,1683937,-60,0.48650720715522766
crash onset,1683937,-50,0.5373196601867676
crash onset,1683937,-40,0.547034740447998
crash onset,1683937,-30,0.5434565544128418
crash onset,1683937,-20,0.5216217637062073
crash onset,1683937,-10,0.5086928606033325
crash onset,1683937,0,0.4999590814113617
crash onset,1683937,10,0.46195197105407715
crash onset,1683937,20,0.5144495964050293
crash onset,1683937,30,0.5062564015388489
crash onset,1683937,40,0.5435413122177124
crash onset,1683937,50,0.5719282627105713
crash onset,1683937,60,0.5682532787322998
crash onset,1683937,70,0.5565786957740784
crash onset,1683937,80,0.502984344959259
crash onset,1683937,90,0.49183353781700134
crash onset,1684840,0,0.1911373883485794
crash onset,1684840,10,0.21340660750865936
crash onset,1684840,20,0.310236394405365
crash onset,1684840,30,0.42608442902565
crash onset,1684840,40,0.520109236240387
crash onset,1684840,50,0.5063260793685913
crash onset,1684840,60,0.5543617606163025
crash onset,1684840,70,0.4972771406173706
crash onset,1684840,80,0.4797731041908264
crash onset,1684840,90,0.38532471656799316
crash onset,1688371,-30,0.6951916813850403
crash onset,1688371,-20,0.7583233118057251
crash onset,1688371,-10,0.7402258515357971
crash onset,1688371,0,0.7390166521072388
crash onset,1688371,10,0.3353952169418335
crash onset,1688371,20,0.4418230652809143
crash onset,1688371,30,0.4178690016269684
crash onset,1688371,40,0.4457433223724365
crash onset,1688371,50,0.4587743878364563
crash onset,1688371,60,0.478640079498291
crash onset,1688371,70,0.47055333852767944
crash onset,1688371,80,0.41925865411758423
crash onset,1688371,90,0.4413881003856659
crash onset,1941216,-90,0.15684527158737183
crash onset,1941216,-80,0.15422458946704865
crash onset,1941216,-70,0.17687468230724335
crash onset,1941216,-60,0.19060727953910828
crash onset,1941216,-50,0.26327377557754517
crash onset,1941216,-40,0.3100341558456421
crash onset,1941216,-30,0.7728418707847595
crash onset,1941216,-20,0.7425794005393982
crash onset,1941216,-10,0.7509097456932068
crash onset,1941216,0,0.6728750467300415
crash onset,1941216,10,0.886499285697937
crash onset,1941216,20,0.8851209878921509
crash onset,1941216,30,0.881173312664032
crash onset,1941216,40,0.8281096816062927
crash onset,1941216,50,0.7956671118736267
crash onset,1941216,60,0.8144047856330872
crash onset,1941216,70,0.7468502521514893
crash onset,1941216,80,0.7076380252838135
crash onset,2176303,-40,0.8972216844558716
crash onset,2176303,-30,0.834678590297699
crash onset,2176303,-20,0.8237495422363281
crash onset,2176303,-10,0.48426100611686707
crash onset,2176303,0,0.7356773018836975
crash onset,2176303,10,0.7502135634422302
crash onset,2176303,20,0.7812566757202148
crash onset,2176303,30,0.67942875623703
crash onset,2176303,40,0.764144241809845
crash onset,2176303,50,0.7498354911804199
crash onset,2176303,60,0.8390911817550659
crash onset,2176303,70,0.8084276914596558
crash onset,2176303,80,0.8200547695159912
