kind,event,lag,mean_corr
ordinary peak,346640,20,0.18590718507766724
ordinary peak,346640,30,0.2526051998138428
ordinary peak,346640,40,0.38097402453422546
ordinary peak,346640,50,0.38092145323753357
ordinary peak,346640,60,0.3914526700973511
ordinary peak,346640,70,0.21523675322532654
ordinary peak,346640,80,0.1533445566892624
ordinary peak,346640,90,0.17038479447364807
ordinary peak,389103,-90,0.25314611196517944
ordinary peak,389103,-80,0.2969457805156708
ordinary peak,389103,-70,0.2888771891593933
ordinary peak,389103,-60,0.2763989567756653
ordinary peak,389103,-50,0.2120172083377838
ordinary peak,389103,-40,0.24896565079689026
ordinary peak,389103,-30,0.18385514616966248
ordinary peak,389103,-20,0.17501115798950195
ordinary peak,389103,-10,0.19749975204467773
ordinary peak,389103,0,0.17750540375709534
ordinary peak,389103,10,0.277799516916275
ordinary peak,389103,20,0.24753044545650482
ordinary peak,389103,30,0.2552492320537567
ordinary peak,389103,40,0.257588267326355
ordinary peak,389103,50,0.2186460942029953
ordinary peak,389103,60,0.251349538564682
ordinary peak,389103,70,0.1465645432472229
ordinary peak,389103,80,0.13727352023124695
ordinary peak,389103,90,0.11727795004844666
ordinary peak,431862,-10,0.22892259061336517
ordinary peak,431862,0,0.1590639054775238
ordinary peak,431862,10,0.18010126054286957
ordinary peak,431862,20,0.13944514095783234
ordinary peak,431862,30,0.16172218322753906
ordinary peak,431862,40,0.129136860370636
ordinary peak,431862,50,0.12906838953495026
ordinary peak,431862,60,0.1504507213830948
ordinary peak,431862,70,0.1780892014503479
ordinary peak,431862,80,0.16344964504241943
ordinary peak,431862,90,0.18048794567584991
ordinary peak,477589,-90,0.36692285537719727
ordinary peak,477589,-80,0.43965744972229004
ordinary peak,477589,-70,0.41478636860847473
ordinary peak,477589,-60,0.3945282995700836
ordinary peak,477589,-50,0.30221062898635864
ordinary peak,477589,-40,0.29273730516433716
ordinary peak,477589,-30,0.3036786615848541
ordinary peak,477589,-20,0.326138436794281
ordinary peak,477589,-10,0.3552446663379669
ordinary peak,477589,0,0.3619084060192108
ordinary peak,477589,10,0.3139163851737976
ordinary peak,477589,20,0.43532708287239075
ordinary peak,477589,30,0.4377025067806244
ordinary peak,477589,40,0.47568196058273315
ordinary peak,477589,50,0.36869022250175476
ordinary peak,477589,60,0.46350809931755066
