market,kind,date,trough,mean_corr,planted_mean_corr,absorption,planted_absorption,flicker,planted_flicker,quarter
it_ftsemib,crash,2020-02-19,2020-03-12,-0.1543958515005517,-0.12439585150055171,-0.1118827447048683,-0.08188274470486828,-0.1568735796000272,-0.12687357960002715,2020Q1
it_ftsemib,crash,2022-05-30,2022-07-14,0.00831347182278879,0.03831347182278876,0.01085004689078615,0.0408500468907862,0.00960432904893361,0.039604329048933594,2022Q2
it_ftsemib,crash,2024-07-23,2024-08-06,-0.08563892012204963,-0.05563892012204965,-0.024949675041184248,0.005050324958815772,-0.07278867163915773,-0.04278867163915771,2024Q3
it_ftsemib,crash,2025-03-19,2025-04-09,-0.008403767523744157,0.021596232476255816,-0.0338551364924727,-0.0038551364924727105,-0.0510916758007551,-0.021091675800755067,2025Q1
jp_largecap,crash,2000-12-13,2001-03-13,0.06442889690150051,0.09442889690150051,0.05271945518956645,0.0827194551895665,0.12584416937611662,0.15584416937611664,2000Q4
jp_largecap,crash,2002-01-07,2002-02-06,0.08982770054990903,0.11982770054990904,0.07720012409319163,0.10720012409319157,0.060255742277308365,0.0902557422773083,2002Q1
jp_largecap,crash,2002-08-26,2002-11-14,0.022987979649105292,0.052987979649105316,0.015916760225208326,0.045916760225208346,-0.03435068585992044,-0.00435068585992041,2002Q3
jp_largecap,crash,2003-10-20,2003-11-19,0.0709961978220353,0.10099619782203527,0.06324160356784404,0.09324160356784401,0.08761987923491604,0.11761987923491601,2003Q4
jp_largecap,crash,2004-04-26,2004-05-17,0.08523716389284858,0.11523716389284858,0.07403979996417026,0.1040397999641703,0.160834126984127,0.190834126984127,2004Q2
jp_largecap,crash,2006-04-07,2006-06-13,0.11204775887517204,0.14204775887517204,0.10055860890496837,0.1305586089049684,0.00908944904997538,0.03908944904997535,2006Q2
jp_largecap,crash,2007-07-09,2007-08-17,-0.1068251833986255,-0.0768251833986255,-0.08754291606363214,-0.05754291606363215,0.023635877115073672,0.05363587711507368,2007Q3
jp_largecap,crash,2008-02-27,2008-03-17,-0.04007254442777969,-0.01007254442777969,-0.0348235287260347,-0.004823528726034716,-0.0081814190829644,0.02181858091703558,2008Q1
jp_largecap,crash,2009-01-07,2009-03-10,0.02382086649556599,0.053820866495565944,0.023013933597010667,0.0530139335970107,-0.0027111281262134587,0.027288871873786535,2009Q1
jp_largecap,crash,2009-10-26,2009-11-27,0.140496968606093,0.17049696860609304,0.10828036599063968,0.1382803659906397,0.1691263529541937,0.19912635295419362,2009Q4
jp_largecap,crash,2010-06-21,2010-08-31,0.007033367089893628,0.037033367089893666,0.008714519379740238,0.03871451937974031,0.012002029583763351,0.042002029583763326,2010Q2
jp_largecap,crash,2011-02-21,2011-03-15,-0.04529838326778771,-0.015298383267787688,-0.02014596123930501,0.009854038760695016,0.023163110900399003,0.05316311090039907,2011Q1
jp_largecap,crash,2012-03-27,2012-06-04,-0.025824375144774925,0.004175624855225074,-0.023199641899802403,0.006800358100197634,-0.024098084585499783,0.005901915414500196,2012Q1
jp_largecap,crash,2013-05-22,2013-06-13,0.08340586083362334,0.11340586083362329,0.07117707985455297,0.10117707985455306,0.13486863981429204,0.16486863981429203,2013Q2
jp_largecap,crash,2013-12-30,2014-02-04,0.04102918506296064,0.07102918506296071,0.03782644091946205,0.06782644091946204,-0.002634299622370014,0.027365700377629993,2013Q4
jp_largecap,crash,2014-09-25,2014-10-17,-0.10517617905765154,-0.07517617905765155,-0.09321718657187211,-0.06321718657187214,-0.12388647527708417,-0.09388647527708417,2014Q3
jp_largecap,crash,2015-12-01,2016-02-12,-0.018032550824966753,0.011967449175033276,-0.011706017134872904,0.018293982865127113,-0.09900115019673365,-0.0690011501967336,2015Q4
