market,date,fall
jp_largecap,2009-10-26,-0.12362709155116658
jp_largecap,2010-06-21,-0.10220835691751462
jp_largecap,2011-02-21,-0.2074486394316445
jp_largecap,2012-03-27,-0.1269450735215556
jp_largecap,2013-05-22,-0.20361086527860905
jp_largecap,2013-12-30,-0.14012623318569783
jp_largecap,2014-09-25,-0.11247185637556456
jp_largecap,2015-12-01,-0.152746797908211
jp_largecap,2018-01-23,-0.1277583043120447
jp_largecap,2018-10-02,-0.12858420880377408
jp_largecap,2020-01-20,-0.12459891959593394
jp_largecap,2021-09-14,-0.10241996305058665
jp_largecap,2022-08-17,-0.11243145829270274
jp_largecap,2024-07-11,-0.25496387432767686
jp_largecap,2026-02-27,-0.13231121697947834
kr_kospi200,2002-12-03,-0.14801039744652844
kr_kospi200,2004-04-23,-0.221225153975113
kr_kospi200,2006-05-11,-0.178084231935435
kr_kospi200,2007-07-25,-0.18268953995384496
kr_kospi200,2008-05-16,-0.11327345325505433
kr_kospi200,2009-01-07,-0.13208276294732746
kr_kospi200,2010-04-26,-0.10921698461936313
kr_kospi200,2011-07-07,-0.1998129246883319
kr_kospi200,2012-04-03,-0.10186504382791639
kr_kospi200,2013-05-29,-0.11021884452870379
kr_kospi200,2018-09-27,-0.15257506834948875
kr_kospi200,2019-04-16,-0.10019876469916356
kr_kospi200,2020-01-22,-0.12360348009014221
kr_kospi200,2022-08-16,-0.14376439801574548
kr_kospi200,2023-09-15,-0.12428113675630881
kr_kospi200,2024-07-11,-0.15556748011689636
kr_kospi200,2025-03-26,-0.132468966011418
kr_kospi200,2026-02-26,-0.1989466210750569
nl_aex,2002-08-22,-0.2575255546636437
nl_aex,2003-09-08,-0.10350675676278243
nl_aex,2006-04-21,-0.10297071385084333
nl_aex,2007-07-16,-0.1331910012524209
nl_aex,2008-02-26,-0.1042770023948616
nl_aex,2009-01-06,-0.13046381348587555
nl_aex,2010-04-26,-0.14660211781392263
nl_aex,2011-07-07,-0.1966914298532042
